modell_basis;garment_type;farbe;groesse;ean
Imogen Diamante;Bodysuit;black;XS;2000575087527
Imogen Diamante;Bodysuit;black;S;2000575087534
Imogen Diamante;Bodysuit;black;M;2000575087541
Imogen Diamante;Bodysuit;black;L;2000575087558
Imogen Diamante;Bodysuit;black;XL;2000575087565
Imogen Diamante;Bodysuit;taupe;XS;2000575093504
Imogen Diamante;Bodysuit;taupe;S;2000575093511
Imogen Diamante;Bodysuit;taupe;M;2000575093528
Imogen Diamante;Bodysuit;taupe;L;2000575093535
Imogen Diamante;Bodysuit;taupe;XL;2000575093542
Demi Diamante;Top;black;XS;2000575094310
Demi Diamante;Top;black;S;2000575094327
Demi Diamante;Top;black;M;2000575094334
Demi Diamante;Top;black;L;2000575094341
Demi Diamante;Top;black;XL;2000575094358
Demi Diamante;Top;lilac;XS;2000575095225
Demi Diamante;Top;lilac;S;2000575095232
Demi Diamante;Top;lilac;M;2000575095249
Demi Diamante;Top;lilac;L;2000575095256
Demi Diamante;Top;lilac;XL;2000575095263
Sarah Diamante;Bottom;black;XS;2000575087794
Sarah Diamante;Bottom;black;S;2000575087800
Sarah Diamante;Bottom;black;M;2000575087817
Sarah Diamante;Bottom;black;L;2000575087824
Sarah Diamante;Bottom;black;XL;2000575087831
Sarah Diamante;Bottom;lilac;XS;2000575094587
Sarah Diamante;Bottom;lilac;S;2000575094594
Sarah Diamante;Bottom;lilac;M;2000575094600
Sarah Diamante;Bottom;lilac;L;2000575094617
Sarah Diamante;Bottom;lilac;XL;2000575094624
Roxie Diamante;Top;black;XS;2000575094136
Roxie Diamante;Top;black;S;2000575094143
Roxie Diamante;Top;black;M;2000575094150
Roxie Diamante;Top;black;L;2000575094167
Roxie Diamante;Top;black;XL;2000575094174
Roxie Diamante;Top;taupe;XS;2000575094228
Roxie Diamante;Top;taupe;S;2000575094235
Roxie Diamante;Top;taupe;M;2000575094242
Roxie Diamante;Top;taupe;L;2000575094259
Roxie Diamante;Top;taupe;XL;2000575094266
Roxie Diamante;Bottom;black;XS;2000575087701
Roxie Diamante;Bottom;black;S;2000575087718
Roxie Diamante;Bottom;black;M;2000575087725
Roxie Diamante;Bottom;black;L;2000575087732
Roxie Diamante;Bottom;black;XL;2000575087749
Roxie Diamante;Bottom;taupe;XS;2000575095126
Roxie Diamante;Bottom;taupe;S;2000575095133
Roxie Diamante;Bottom;taupe;M;2000575095140
Roxie Diamante;Bottom;taupe;L;2000575095157
Roxie Diamante;Bottom;taupe;XL;2000575095164
Odessa;Top;black;XS;2000575093689
Odessa;Top;black;S;2000575093696
Odessa;Top;black;M;2000575093702
Odessa;Top;black;L;2000575093719
Odessa;Top;black;XL;2000575093726
Odessa;Top;chocolate;XS;2000575093597
Odessa;Top;chocolate;S;2000575093603
Odessa;Top;chocolate;M;2000575093610
Odessa;Top;chocolate;L;2000575093627
Odessa;Top;chocolate;XL;2000575093634
Odessa;Top;white;XS;2000575093771
Odessa;Top;white;S;2000575093788
Odessa;Top;white;M;2000575093795
Odessa;Top;white;L;2000575093801
Odessa;Top;white;XL;2000575093818
Odessa;Bottom;black;XS;2000575093863
Odessa;Bottom;black;S;2000575093870
Odessa;Bottom;black;M;2000575093887
Odessa;Bottom;black;L;2000575093894
Odessa;Bottom;black;XL;2000575093900
Odessa;Bottom;chocolate;XS;2000575094044
Odessa;Bottom;chocolate;S;2000575094051
Odessa;Bottom;chocolate;M;2000575094068
Odessa;Bottom;chocolate;L;2000575094075
Odessa;Bottom;chocolate;XL;2000575094082
Odessa;Bottom;white;XS;2000575093955
Odessa;Bottom;white;S;2000575093962
Odessa;Bottom;white;M;2000575093979
Odessa;Bottom;white;L;2000575093986
Odessa;Bottom;white;XL;2000575093993
